Do you travel in city.?, TOV,TF,age,Locv,gmap,st,tst,mktgb,boty,dit,mktgbu,seewhat
Yes ,2 wheeler,Daily,18,Yes ,Yes ,Yes ,48,Yes,Industrial advertisement,Look around | Think,Yes,Promote their product. Tv serials. Clg/school promotions
Yes ,2 wheeler,weekly,18,No,No,Yes ,20,Yes,Adidas advertisement,Look around | Think,Yes,About news
Yes ,2 wheeler,A few times week,22,No,No,Yes ,30,Yes | Sometimes,"College ads, mobile ads, jwellery ads etc",Look around,Yes,Same as above
Yes ,2 wheeler,Once a month,19,No,Yes ,Yes ,30,Yes,Marketing about something,Look around,Yes,Something good that we like to see or get something good from that board
Yes ,4 wheeler | 2 wheeler,A few times a month,19,No,Yes ,Yes ,7200,Yes | Sometimes,"Marketing, New Movies or series and all",Look around | Look at quotes written on predecessors end | Think,Sometimes,Motivational
Yes ,2 wheeler,Daily,21,Yes ,Yes ,Yes ,60,Yes,.,Look around,Yes,.
Yes ,2 wheeler,About once a week,17,Yes ,Yes ,Yes ,90,No,No,Think,No,No
Yes ,4 wheeler | 2 wheeler,weekly,20,Yes ,Yes ,Yes ,150,Sometimes,Marketing,Look around,Yes,All types depend upon mood
Yes ,2 wheeler,About once a week,18,No,Yes ,Yes ,600,Yes,"Mostly educational institution banners ,Flats , nee Restaurants etc.",Look around | Look at quotes written on predecessors end,Sometimes,More of Government policies which many people are not aware about
No,2 wheeler,Daily,17,No,No,Yes ,50,Sometimes,"Marketing board,polytics board & Building Structure board etc..",Look around,Sometimes,"Indian army Fighting on the border for Indians ,Public service work & other activities etc.."
Yes ,4 wheeler | 2 wheeler,Daily,21,Yes ,Yes ,Yes ,90,Yes,Marketing or advertising,Look around,Yes,Convincing and attractive
Yes ,4 wheeler,Daily,21,No,Yes ,Yes ,120,Sometimes,advertisements,Look around | Think,Yes,useful maybe
Yes ,2 wheeler,Daily,15,No,Yes ,Yes ,30,No,"Of Institutes, advertisement of shops, etc.",Look at quotes written on predecessors end,Yes,Of army andSrudy
Yes ,2 wheeler,A few times week,18,No,Yes ,Yes ,60,Sometimes,Advertising,Look around,Sometimes,"Any compition like dancing, singing etc."
Yes ,2 wheeler,Monthly,20,No,No,Yes ,120,Yes,Everytype,Look around,Yes,That's useful for me
Yes ,4 wheeler | 2 wheeler,Daily,23,Yes ,Yes ,Yes ,1200,Sometimes,Advertisement,Play radio,Sometimes,Advertisement
Yes ,more than 4 wheeler,Once a month,19,No,Yes ,Yes ,600,Yes,"Direction,  market , hotels and food etc",Look around,Yes,"Restraunts,  direction and detailed information board on tourist places"
Yes ,2 wheeler,A few times week,17,Yes ,No,Yes  | No,900,No,Marketing,Think,Yes,Creative one
Yes ,4 wheeler | 2 wheeler,Daily,24,Yes ,Yes ,Yes ,10,Yes,Hoarding,Look around | Look at quotes written on predecessors end,Yes,"Food , clothing"
Yes ,2 wheeler,Daily,21,Yes ,No,Yes ,2000,Yes | Sometimes,No need to answer,Look around,Sometimes,Nai Batana
Yes ,4 wheeler,Daily,20,Yes ,Yes ,No,35,Yes,"Advertisement of serials, film, products",Play radio,Sometimes,Products electronics goods etc
Yes ,2 wheeler,Daily,21,No,Yes ,Yes ,80,Yes,"Universities, new residencies, Academies",Play radio | Think,Sometimes,"Useful, about things that has less awareness."
No,2 wheeler,weekly,22,No,Yes ,Yes ,600,Yes | Sometimes,Shop or website advertising board,Look around,Yes,offer or discount boards
Yes ,4 wheeler | 2 wheeler,A few times week,21,Yes ,Yes ,Yes ,120,Yes,Marketing,Look around | Look at quotes written on predecessors end | Play radio | Think,Yes,Educational
Yes ,2 wheeler,Daily,21,Yes ,Yes ,Yes ,10,Yes,"Fast-track, fossil, Mahindra, byjus",Look around | Look at quotes written on predecessors end | Think,Yes,"Byjus, la pinoz, one plus"
